99;Dni powszednie;#EEEEEE
03:52;X8;;
04:06;X8;;
04:26;X8;;
04:46;X8;;
05:01;X8;;
04:59;X9;;
05:21;X8;;
05:19;X9;;
05:36;X9;;
05:49;X10;;
05:59;X10;;
05:59;X11;;
06:19;X10;;
06:19;X11;;
06:27;X11;;
06:39;X11;;
06:47;X11;;
06:59;X11;;
07:07;X11;;
07:19;X11;;
07:27;X11;;
07:39;X11;;
07:47;X11;;
07:59;X11;;
08:07;X11;;
08:20;X11;;
08:40;X11;;
08:55;X10;;
09:00;X11;;
09:15;X10;;
09:20;X11;;
09:35;X10;;
09:40;X11;;
09:55;X10;;
10:00;X11;;
10:15;X10;;
10:20;X11;;
10:35;X10;;
10:47;X10;;
10:48;X11;;
11:07;X10;;
11:08;X11;;
11:27;X10;;
11:28;X11;;
11:47;X10;;
11:48;X11;;
12:07;X10;;
12:08;X11;;
12:27;X10;;
12:28;X11;;
12:40;X11;;
12:48;X11;;
13:00;X11;;
13:08;X11;;
13:20;X11;;
13:28;X11;;
13:40;X11;;
13:48;X11;;
13:59;X11;;
14:07;X11;;
14:19;X11;;
14:27;X11;;
14:39;X11;;
14:47;X11;;
14:59;X11;;
15:07;X11;;
15:19;X11;;
15:27;X11;;
15:39;X11;;
15:47;X11;;
15:59;X11;;
16:07;X11;;
16:19;X11;;
16:27;X11;;
16:39;X11;;
16:47;X11;;
16:59;X11;;
17:08;X11;;
17:23;X10;;
17:28;X11;;
17:42;X10;;
17:48;X11;;
17:59;X11;;
18:15;X10;;
18:15;X11;;
18:35;X10;;
18:36;X11;;
18:55;X10;;
18:57;X11;;
19:12;X10;;
19:17;X11;;
19:36;X9;;
19:57;X9;;
20:19;X9;;
20:39;X9;;
20:59;X12;;
21:09;X9;;
21:39;X9;;
22:09;X9;;
22:39;X9;;
22:56;X12;;
